,Topic,Count,Name,Representation,Representative_Docs
0,-1,162,-1_food_pasta_meal_flavor,"['food', 'pasta', 'meal', 'flavor', 'meat', 'steak', 'dinner', 'cheese', 'make', 'gluten']","[""and we were chatting all about food trends for 2025. and before we went to break there, we talked a little bit about some things we thought might be, you know, kind of getting out of the picture a little bit. jeffie started breaking some knowledge about something he read about a new type of fake meat coming out. that's chicken and beef made of mushrooms. i don't know. it sounds crazy. but i said, it's the future. the future is now. we are here and the crazy things are happening. jeffie and we're here to be a part of it. . 3d printed meat. i can't wait. we have my own 3d meat printer. i would love one of those. we got a front row seat to the future right now when it comes to food. it's amazing. it would be wild if that was how it was. you had to go to the store and pick up packs of mycelium paste."", ""but you're going to have a choice. do you want the gluten free pasta or the non gluten free pasta and slowly, slowly, but surely that gluten free pasta is going to take over because they make it so . now you can't tell the difference. , , i agree that some of the gluten free pasta out there is phenomenal. it's , what do you think? i think pastas are going to come back because i mean, we went through a whole thing a few years ago where carbs were bad. no one should eat carbs. but now people kind of want that, you know, that delicious flavor they're used to when they were a kid or having something a little bit more filling, you know. , i, you know, it's tough because pasta never goes out of style for me. i eat it, you know, two or three times a week, you know, which is probably not the best thing i could be doing. just a lot of that's what i do eat. i do eat a lot of a lot of gluten free pastas and a lot of different plant based pastas and stuff that."", ""you go to your 3d printer to print up a steak. babe, what do you want me to pick up tonight? , we pick up some fish mycelium. i'm feeling a little todd. the kids want chicken. i'm , , they always eat the chicken. i need it to go. i'll take the soy lit chicken base and then two packs of the cod. jeffie. it's made out of people. , man. what are we talking about here? we're going through a list from forbes magazine talking about food trends. we're giving some of our own as well. jeff, before we went to break here, we talked about some things going out of the, you know, we think are kind of on the way out.""]"
1,0,28,0_festival_dining_event_food,"['festival', 'dining', 'event', 'food', 'truck', 'agree', 'thing', 'pickle', 'chef', 'revenue']","[""i agree. i remember, , i think that food festivals are something that's really starting to take off. and it's something you start to see all over the place, whether it's a hot dog festival, whether it's just a general food and wine fest. and we're kind of popping up everywhere and every place has one just to have for no reason. , you know what we're going to do?"", ""a food truck festival is not a thing. stop it. well, all right. i see what you're saying. and i think that food truck festivals that are afterthoughts, that they say,"", ""they're not such national food festivals either. , there's a lot of food festivals just popping up in random areas. , you know, the danbury pickle festival or, you know, i mean, i don't know if that's real, but it could be. it should be. there is a pickle fest.""]"
2,1,18,1_protein_meat_diet_food,"['protein', 'meat', 'diet', 'food', 'steak', 'eat', 'muscle', 'healthy', 'lean', 'flesh']","[""doesn't mean that it's actually going to happen in application. but i do think that there is more my point to that is there's definitely more awareness across the board that how important protein is so , i do believe that is real. i think it is absolutely something that general population would do so much better if they just put a protein first mindset. if we change nothing else and we just had every person in the world focus on protein and veggies first that's your priority"", ""diet and you're , look at how much red meat they eat. they're eating mostly processed foods across the board that also include things burgers from fast food chains and things that. it's a little bit misleading and i think that when you look at all the research on when we look at whole food, quality, mainly unprocessed, minimally processed diets that it is healthy and advantageous to incorporate proteins from animal products and getting in your fruits"", ""i think that is pure hype and marketing bs. food trend number five, a continued focus on protein. high protein diet stresses eating protein rich foods. that's very well said. this diet is favored among athletes, those aiming to lose weight and older adults prevent preserving muscle mass. high protein diets have surged in popularity in recent years and were identified as the most commonly filed followed diet in the 2024 survey. they are widely recognized for their role in""]"
3,2,15,2_dumpling_dumple_cuisine_plum,"['dumpling', 'dumple', 'cuisine', 'plum', 'pizza', 'chef', 'cheeseburger', 'oyster', 'fish', 'york']","[""so dumpling dynamics. so although dumplings aren't new, this globally beloved food is experiencing a renaissance. so they're saying that we're going to start seeing new and exciting dumplings with all sorts of feelings. and we know this firsthand because of our brother at the brooklyn, the brooklyn chop shop, the stratus, more forge, , stratus, more froggan. . . he's the dumpling king of new york at the moment. that guy is awesome. and he does a great job. he's a third in the universe. . i mean, it's in the city. it's not in connecticut, but if you're the chancellor in the city, go check out the brooklyn dumpling shop."", ""he's got some produce stuff. he's got mushrooms that are locally grown, which is incredible. and he's got some amazing beef selections to even some a five wagyu. i saw this stuff. it looks it's just completely white. it's amazing. i can't wait to try it. that's right. it farman forge market on 36 hampton road in south hampton, new york. you're just saying the same thing. you're saying the same different. well, there's also farman forge market. that's right. okay. there we go. great website. check out farmer forage market.com. you got to check them out. amazing things over there. jeff. listen, i'm telling you i cannot wait to go back and see what else johnny has. that's right. at farman forge market on 36 hampton road south hampton, new york. you just. you know what else johnny has. johnny's got amazing lion meat. i can't wait to get some lion meat from johnny. , it doesn't have that. but he does have a website at farman forge market.com. , this is getting crazy. now he's got a great ostrich legs. you can barbecue ostrich legs. you have those. no ostrich legs, but he does have seven x wagyu at 36 hampton. 36 hampton road in south hampton, new york. i mean, it's just it's a broken record with you. i cannot. i don't understand it. well, anything else you got for me. farman forge market. i got it. 36 hampton road in south hampton. we got it, jeffie. plum little foods right here on wicc. it's your boy chef. plum chef. jeffie. happy new year to everybody. 2025 is upon us."", ""and it's coming fast and furious. so we're going to hear we're i'm here for jeff. i'm here for it. i'll taste all of it for. i'm going to try all of it. i love it all. i'm here for dumplings. i'm here for all of it. you love. i love all those things too, but i'm not sure it might give us sour time. what to find out? it's we're excited to do it, but aren't sure if we should. you're checking out plum love foods right here on wicc. we're talking food trends of 2025. say right there. we'll be right back friends. farman forge market on 36 hampton road in south hampton, new york. farman forge is a fantastic market. if you're an avid home cook or professional chef myself, johnny bernard over there, aka street leaves johnny. he's got some great stuff. i'm talking great olive oils. i'm talking great vinegars. he's got some amazing caviar. johnny's really got everything over there, jeffy. that's right. farman forge market on 36 hampton road in south hampton, new york. , i mean, you were talking. he's got great fish that you can get.""]"
4,3,14,3_coffee_soda_frappuccino_beverage,"['coffee', 'soda', 'frappuccino', 'beverage', 'mocha', 'milkshake', 'flavor', 'sip', 'tequila', 'syrup']","[""and you know, we've been through first wave coffee, which i guess was the antecedents to starbucks and there was second wave coffee. i guess we're in third wave coffee. but the coffee is getting more specific, certainly. and yemeni coffee is going to be big."", ""burst, you know. it's - it's again, it's taking- it's taking those international flavors and kind of tucking them in the cultural american food, you know. we just have a minute, but i thought this was kind of fun. savory coffee drinks. forget carmel mocha pumpkin spice lattes with two pumps of extra syrup. savory coffee drinks are the next wave. chefs are- that sounds interesting. chefs are infusing coffee with sun-choke puree and avocado. and flavoring drinks with ginger,"", ""i mean, that's too perfect right, and they've experimented with slightly smaller shakes 10 ounce shakes and starbucks is doing that for a little while with 10 ounce i think frappuccinos or something that a couple years ago , but 10 ounces is still i think too much. i don't even 10 ounces is sugar water , and speaking of pre-batching i mean you could do you could a coffee one of these drive-through coffee places could""]"
5,4,12,4_trend_2024_2025_fad,"['trend', '2024', '2025', 'fad', 'progress', 'food', 'prediction', '24', 'year', 'foodstuff']","[""downward oblivion pass typically a thing so great if we brought in the aperture a little bit here it takes a step back think more broadly about food trends and your own food trend or food predictions. what are you seeing you eat out a lot around new york city you get to travel all over the world to see what's going on in the culinary space. what do you think is going to be trendy in 2025?"", ""start with 2024 was the year of the pickle from pickle mayo, hummus, gummy vitamins, gold, pickle gummy vitamins, mm-hmm, goldfish, clossin, sprit soda, dill, pickle, infuse cake, and pickle buttercream icing. i thought this was cute. sour, it has- pickled buttercream icing. was it trend in 24? no, it was pickles. everything pickles was 2024. that was the biggest one. and that was just one of the things that came up. i'm glad i missed that one."", ""they just go down. can i shout out a couple of these last food trends that i think might be popping up you guys mind me 20 seconds 20 seconds 20 seconds clarified beverages. that's going to be one that's going to be popping up. , i think we're going to see more insect. we're going to see more sustainable protein start to pop up. i think there's a lot of things that that are going to start popping up and i think i think we're going to see more authentic foods it's mexican. it's going to be more authentic text mex is on its way out. absolutely. we look forward to seeing more and more body here is 2025 rolls on. we appreciate you guys checking out. we're going to see more food live right here on w i c c for chef jeff. i'm chef plum. we'll see you guys next week right here on w i c c.""]"
6,5,12,5_probiotic_gut_prebiotic_nutrition,"['probiotic', 'gut', 'prebiotic', 'nutrition', 'digestion', 'microbiome', 'supplement', 'bacteria', 'inflammation', 'health']","[""you know, buy this probiotic soda because it's gut friendly and you know, people just saying gut health just as a buzz word. i think that any time we have a sliver of truth, we run the risk of somebody trying to capitalize on it for gain and that's really what's happening in a large quantity. there's so much bs being put out there in the name of gut health and then it's you have to try to decipher what's real and what's not. so the way that i to simplify it is"", ""there's a person trying to put a bandaid on it. it's basically that. that's a better one. it's , you're putting a bandaid on this giant crack in the foundation that's the bandaid's going to do nothing. so i think, , gut health matters. , gut health is important. but also, the cautious of being sold snake oil that's, you know, , this is gut friendly and it's gut, you know, this gut supplement, this gut healing supplement blah, blah, blah, all this stuff is just"", 'with probiotic foods and drinks fiber and rich sodas, touting gut health benefits. okay. i am going to say and no. . absolutely. we are finding more connections between gut health and overall health and well-being and mental health and inflammation. all these things are accurate. however, again, just the personalized nutrition point, there are way too many people capitalizing on this to promote snake oil. it is so easy to be gut friendly foods and']"
7,6,11,6_flavour_ingredient_dairy_chocolate,"['flavour', 'ingredient', 'dairy', 'chocolate', 'cocoa', 'milk', 'sugar', 'sweetness', 'harvest', 'substitution']","[""to me, i think there's really interesting lessons we can look at from the plant-based category of how are you positioning something as a substitute versus an alternative and emphasizing that these are things that taste different. i'm thinking, especially if we look at the parallels to non-dairy milk, people have really embraced non-dairy milk for that texture, for that flavour, for that mouthfeel."", ""and the technology that nacco uses, using ai to help create the perfect formula for something that isn't a dairy milk, but tastes a dairy milk. you think that those kinds of technologies in the future will help the industry create things to substitute for some of the flavors we so much, although i don't know what the heck that we could do to help the french with their baguettes and the italians with their coffee and the english with their beer, though. that's a bit of a challenge,"", ""there's no other ingredients to so on as well as texture and mouth-finished science and all those other factors. so you'll see a bit of a shift to compensate for that reduction in cocoa mass, for example. and probably something with orange juice, i mean, no, you'll see the same thing. . you'll see apple juice being substituted increasingly for orange juice, but in something else being added""]"
8,7,10,7_coffee_latte_scotch_spice,"['coffee', 'latte', 'scotch', 'spice', 'cardamom', 'sugar', 'cinnamon', 'taste', 'savory', 'dessert']","[""lemon grass, and rosemary smoke. sam spillman from kathy vita is going to be here later and we'll have to see if- we'll have to- well, i think rosemary smoke makes a lot of sense when you start adding sun-chokes to coffee for me. i don't even it in the first place. right. but i do feel we've seen kind of the explosion of the mushroom-true coffee in the marketplace as either a addition to coffee or an alternative to your coffee. and i think that speaks to that,"", "", the news is i'm a very... i'm a very talented chef. i can make anything taste . listen. first of all, can you make... can you make leaves taste cat food? thank you very much. that's some backwards. thank you very much. we get fermentally, isn't maybe. no, seriously though. matcha is an acquired taste. that's why you hate it. i tried for years. i tried for years i would get. i'm a fair-weather coffee fan. and i'm , let me get the green tea latte. i was , , that's delicious. no, it's not. and i'm , put some vanilla in it. that makes it better. you got to go for the london fog. all right. try the earl grey. the earl grey with the frawth milk with a little bit of frawth in there. one sugar. light sugar."", ""the next one is coffee's next act. the next thing is yemen coffee. yemeni coffee houses are popping up. what does it mean? it's coffee with spice mix, heavy with cardamom, ginger and cinnamon.""]"
9,8,10,8_glp_dietary_nutrition_metabolism,"['glp', 'dietary', 'nutrition', 'metabolism', 'medication', 'appetite', 'diabete', 'protein', 'homeostasis', 'meal']","[""you're taking medication or not, if you're on a glp-1 or not, it does not matter. what we do know is that the lifestyle change still has to take place. to say, , quality protein, fiber, , , it's called changing your dietary habits and not just relying on a medication to make the fix for you. for people that are using the medication or keeping the weight off, it's because there's the lifestyle and the behavioral intervention along with the decreased appetite. it's a"", ""an increased demand for vitamin and nutrition supplements to support glp-1 medications. i think this is total marketing hype. okay, there are no, there's not really , this is where you make up things. it sounds great to be glp-1 friendly foods. if i released a guide and i was , i just put together a resource on glp-1 friendly foods that you can buy right now. people would eat that shit up. it is total marketing hype. what we know is that regardless of whether"", ""glp-1 friendly foods, glp-1 medications such as simegal-tied, ozempic used for managing diabetes and weight loss are increasing in popularity, to say the least, these medications slow the digestive process, promote satiety and decrease appetite. here's why it will trend. as more people use these medications, changes in appetite, portion size and metabolism will lead to a need to make dietary adjustments, says polinsky""]"
